"","province","n"
"1","Germania Superior",339
"2","Dalmatia",212
"3","Moesia Superior",211
"4","Pannonia Superior",208
"5","Baetica",188
"6","Pannonia Inferior",172
"7","Moesia Inferior",148
"8","Germania Inferior",123
"9","Britannia",116
"10","Latium et Campania (Regio I)",103
"11","Roma",99
"12","Hispania Citerior",84
"13","Dacia",71
"14","Noricum",59
"15",NA,36
"16","Raetia",30
"17","Macedonia",20
"18","Lusitania",17
"19","Belgica",13
"20","Achaia",12
"21","Alpes Maritimae",12
"22","Numidia",12
"23","Galatia",10
"24","Aemilia (Regio VIII)",9
"25","Lugdunensis",8
"26","Etruria (Regio VII)",7
"27","Thracia",7
"28","Venetia et Histria (Regio X)",7
"29","Africa Proconsularis",6
"30","Alpes Graiae",6
"31","Umbria (Regio VI)",5
"32","Epirus",4
"33","Alpes Cottiae",3
"34","Mauretania Tingitana",3
"35","Apulia et Calabria (Regio II)",2
"36","Bithynia et Pontus",2
"37","Cilicia",2
"38","Iudaea",2
"39","Liguria (Regio IX)",2
"40","Sardinia",2
"41","Aegyptus",1
"42","Asia",1
"43","Bruttium et Lucania (Regio III)",1
"44","Cyrene",1
"45","Mesopotamia",1
"46","Narbonensis",1
"47","Picenum (Regio V)",1
"48","Samnium (Regio IV)",1
"49","Transpadana (Regio XI)",1
